"1","Serafina Guerrero","D29248648","Callejón de Úrsula Maestre 15 Apt. 37 ","cp: 54840","#a3f7ee","+34 742 657 426","815-25-3035","count_bank: ES3966038501031101309679"
"2","Nidia Ibáñez Guzmán","31528106M","Ronda Ricardo Vilalta 612","cp: 69070","#db02ac","+34 884 44 40 86","173-57-9006","count_bank: ES5747530744932696659961"
"3","Eduardo Coll","05071584S","C. de Odalis Villalonga 28 Apt. 48 ","cp: 47599","#cab7f4","+34731161057","074-78-6616","count_bank: ES0756426269885888074289"
"4","Julie Arteaga-Estevez","E78332533","Cañada Febe Cid 7 Apt. 65 ","cp: 29306","#507f08","+34 731210604","218-91-7454","count_bank: ES4407774573924085739689"
"5","Abril Lucía Araujo Delgado","Y0350260F","Vial de Charo Alcolea 7 Puerta 0 ","cp: 88000","#2c1bc6","+34 704 70 53 56","155-26-9207","count_bank: ES8010388155912568007714"
"6","Blanca Díez Sáenz","99499413X","Paseo Gabino Espinosa 46 Apt. 49 ","cp: 76392","#cbf72c","+34721 066 955","567-49-6727","count_bank: ES5050439673338662731356"
"7","Noa Montero Amigó","17149332A","Cuesta de Perlita Rebollo 1 Apt. 07 ","cp: 59226","#e499e5","+34870689773","226-42-4914","count_bank: ES3264847996892612045222"
"8","Graciano Zaragoza Lorenzo","50959765E","Avenida Inmaculada Anaya 65 Piso 7 ","cp: 41192","#f7768e","+34938 50 60 95","474-20-6758","count_bank: ES8216373071374530751659"
"9","Clímaco Tenorio-Ariño","16814172E","Rambla Emma Dominguez 55 Piso 3 ","cp: 56080","#ce2dae","+34872 56 98 63","889-57-0461","count_bank: ES6025696169447969961439"
"10","Matías Carreño Barrio","Y4513373M","Pasaje de Encarnación Pablo 61","cp: 09117","#ef0e95","+34 682 986 999","565-07-2163","count_bank: ES3941102187310791959118"
